objectId,inSize,outSize,totalTime,correctTime,oneOfAsAnyOf,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
o6290,3393,8117,101,99,true,2,0,0,58,0,6,2,1,0,26,0,1,0,true,false,true,2,,,,,
o73950,3395,7831,27,26,true,1,0,0,7,0,1,3,3,0,4,0,0,0,true,false,true,2,,,,,
o90745,3400,11398,24,23,true,1,0,0,1,0,0,2,3,0,9,1,0,1,true,false,true,2,,,,,
o22580,3402,64,2,1,true,1,0,0,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o90646,3402,10637,18,17,true,1,0,0,0,0,1,2,2,0,5,0,0,0,true,false,true,2,,,,,
o76465,3404,20887,49,48,true,1,0,0,15,0,1,4,3,1,9,1,2,2,true,false,true,2,,,,,
o70016,3408,10736,24,23,true,1,0,1,3,0,1,3,3,0,5,1,1,1,true,false,true,2,,,,,
o46412,3412,2546,65,64,true,1,0,0,35,0,17,1,1,0,8,0,0,1,true,false,true,2,,,,,
o12458,3413,11999,36,35,true,0,1,0,11,0,1,2,2,0,9,1,1,0,true,false,true,2,,,,,
o33928,3413,11734,69,68,true,2,0,0,42,0,2,2,5,0,3,1,1,2,true,false,true,2,,,,,
o33714,3418,5893,19,18,true,1,0,0,1,0,1,2,1,0,7,0,1,0,true,false,true,2,,,,,
o74594,3418,19659,37,36,true,0,0,1,1,0,0,2,2,2,11,2,1,2,true,false,true,2,,,,,
o90617,3421,10112,17,16,true,1,0,0,1,0,0,2,1,0,5,0,1,0,true,false,true,2,,,,,
o48021,3422,14782,36,35,true,1,0,0,9,0,1,3,3,0,8,1,1,1,true,false,true,2,,,,,
o62972,3423,26173,49,48,true,1,0,0,1,0,4,4,5,0,9,1,1,5,true,false,true,2,,,,,
o65679,3424,10390,24,23,true,0,0,1,5,0,1,3,0,1,4,1,1,1,true,false,true,2,,,,,
